readout,metric,method,shortlist_size,comparator,comparator_budget,target_domain,paired_loss_difference
logistic,error_rate,second_moment_mmd,227,random,227,sketch,-0.0035675048828125028
logistic,error_rate,target_a,10,exhaustive,455,clipart,0.02325439453125
logistic,error_rate,target_a,10,exhaustive,455,infograph,0.0128173828125
logistic,error_rate,target_a,10,exhaustive,455,painting,0.00531005859375
logistic,error_rate,target_a,10,exhaustive,455,quickdraw,0.00726318359375
logistic,error_rate,target_a,10,exhaustive,455,real,-0.00421142578125
logistic,error_rate,target_a,10,exhaustive,455,sketch,0.00897216796875
logistic,error_rate,target_a,10,random,10,clipart,-0.02707519531250001
logistic,error_rate,target_a,10,random,10,infograph,-0.008172607421875006
logistic,error_rate,target_a,10,random,10,painting,-0.055853271484375
logistic,error_rate,target_a,10,random,10,quickdraw,0.00041503906249998335
logistic,error_rate,target_a,10,random,10,real,-0.053750610351562506
logistic,error_rate,target_a,10,random,10,sketch,-0.016744995117187494
logistic,error_rate,target_a,10,random,227,clipart,0.013952636718750001
logistic,error_rate,target_a,10,random,227,infograph,0.011318969726562503
logistic,error_rate,target_a,10,random,227,painting,-0.0003265380859375083
logistic,error_rate,target_a,10,random,227,quickdraw,0.0066436767578124944
logistic,error_rate,target_a,10,random,227,real,-0.014120483398437494
logistic,error_rate,target_a,10,random,227,sketch,0.005404663085937497
logistic,error_rate,target_a,25,exhaustive,455,clipart,0.00250244140625
logistic,error_rate,target_a,25,exhaustive,455,infograph,0.00213623046875
logistic,error_rate,target_a,25,exhaustive,455,painting,0.0
logistic,error_rate,target_a,25,exhaustive,455,quickdraw,0.0040283203125
logistic,error_rate,target_a,25,exhaustive,455,real,0.000244140625
logistic,error_rate,target_a,25,exhaustive,455,sketch,-0.00018310546875
logistic,error_rate,target_a,25,random,25,clipart,-0.03578796386718749
logistic,error_rate,target_a,25,random,25,infograph,-0.011126708984375011
logistic,error_rate,target_a,25,random,25,painting,-0.030474853515625004
logistic,error_rate,target_a,25,random,25,quickdraw,0.0001251220703125111
logistic,error_rate,target_a,25,random,25,real,-0.034863281249999996
logistic,error_rate,target_a,25,random,25,sketch,-0.014843750000000003
logistic,error_rate,target_a,25,random,227,clipart,-0.006799316406249999
logistic,error_rate,target_a,25,random,227,infograph,0.0006378173828125028
logistic,error_rate,target_a,25,random,227,painting,-0.005636596679687508
logistic,error_rate,target_a,25,random,227,quickdraw,0.0034088134765624944
logistic,error_rate,target_a,25,random,227,real,-0.009664916992187494
logistic,error_rate,target_a,25,random,227,sketch,-0.0037506103515625028
logistic,error_rate,target_a,50,exhaustive,455,clipart,0.0
logistic,error_rate,target_a,50,exhaustive,455,infograph,0.00152587890625
logistic,error_rate,target_a,50,exhaustive,455,painting,0.0
logistic,error_rate,target_a,50,exhaustive,455,quickdraw,0.00091552734375
logistic,error_rate,target_a,50,exhaustive,455,real,0.0
logistic,error_rate,target_a,50,exhaustive,455,sketch,-0.0010986328125
logistic,error_rate,target_a,50,random,50,clipart,-0.031240844726562494
logistic,error_rate,target_a,50,random,50,infograph,-0.0069641113281249944
logistic,error_rate,target_a,50,random,50,painting,-0.023413085937499988
logistic,error_rate,target_a,50,random,50,quickdraw,-0.002044677734375
logistic,error_rate,target_a,50,random,50,real,-0.026974487304687496
logistic,error_rate,target_a,50,random,50,sketch,-0.01458435058593751
logistic,error_rate,target_a,50,random,227,clipart,-0.009301757812499999
logistic,error_rate,target_a,50,random,227,infograph,2.7465820312502776e-05
logistic,error_rate,target_a,50,random,227,painting,-0.005636596679687508
logistic,error_rate,target_a,50,random,227,quickdraw,0.00029602050781249445
logistic,error_rate,target_a,50,random,227,real,-0.009909057617187494
logistic,error_rate,target_a,50,random,227,sketch,-0.004666137695312503
logistic,error_rate,target_a,100,exhaustive,455,clipart,0.0
logistic,error_rate,target_a,100,exhaustive,455,infograph,0.0
logistic,error_rate,target_a,100,exhaustive,455,painting,0.0
logistic,error_rate,target_a,100,exhaustive,455,quickdraw,0.0
logistic,error_rate,target_a,100,exhaustive,455,real,0.0
logistic,error_rate,target_a,100,exhaustive,455,sketch,-0.002197265625
logistic,error_rate,target_a,100,random,100,clipart,-0.021463012695312506
logistic,error_rate,target_a,100,random,100,infograph,-0.005468750000000008
logistic,error_rate,target_a,100,random,100,painting,-0.013778686523437493
logistic,error_rate,target_a,100,random,100,quickdraw,-0.0030334472656250028
logistic,error_rate,target_a,100,random,100,real,-0.019665527343750003
logistic,error_rate,target_a,100,random,100,sketch,-0.008102416992187493
