construction,readout,metric,method,shortlist_size,domain_count,repeated_task_count,test_loss,oracle_loss,full_validation_test_loss,gap_to_full,absolute_omission,recall_at_top_q,worst_repeated_task_gap
original,logistic,error_rate,mean_matching,227,6,12,0.6302490234375,0.6216227213541666,0.62939453125,0.0008544921875,0.000732421875,0.9416666666666668,0.01025390625
original,logistic,error_rate,random,10,6,12,0.6668924967447918,0.6216227213541666,0.62939453125,0.03749796549479166,0.043060302734375,0.024583333333333336,0.0710693359375
original,logistic,error_rate,random,25,6,12,0.6537353515624998,0.6216227213541666,0.62939453125,0.0243408203125,0.028361002604166668,0.05708333333333334,0.055078125
original,logistic,error_rate,random,50,6,12,0.6477091471354166,0.6216227213541666,0.62939453125,0.018314615885416663,0.02165323893229167,0.10833333333333334,0.045556640625
original,logistic,error_rate,random,100,6,12,0.641162109375,0.6216227213541666,0.62939453125,0.011767578124999999,0.014851888020833334,0.21125000000000002,0.0349365234375
original,logistic,error_rate,random,227,6,12,0.6346720377604167,0.6216227213541666,0.62939453125,0.005277506510416668,0.006976318359375001,0.49124999999999996,0.0197509765625
original,logistic,error_rate,second_moment_mmd,10,6,12,0.6410319010416666,0.6216227213541666,0.62939453125,0.011637369791666666,0.017293294270833332,0.17500000000000004,0.04443359375
original,logistic,error_rate,second_moment_mmd,25,6,12,0.6336263020833334,0.6216227213541666,0.62939453125,0.004231770833333333,0.009521484375,0.3666666666666667,0.03271484375
original,logistic,error_rate,second_moment_mmd,50,6,12,0.630126953125,0.6216227213541666,0.62939453125,0.000732421875,0.004231770833333333,0.5916666666666667,0.02197265625
original,logistic,error_rate,second_moment_mmd,100,6,12,0.62939453125,0.6216227213541666,0.62939453125,0.0,0.0009765625,0.8833333333333334,0.0
original,logistic,error_rate,second_moment_mmd,227,6,12,0.62939453125,0.6216227213541666,0.62939453125,0.0,0.0,1.0,0.0
original,logistic,error_rate,target_a,10,6,12,0.634765625,0.6216227213541666,0.62939453125,0.00537109375,0.012654622395833334,0.18333333333333335,0.03173828125
original,logistic,error_rate,target_a,25,6,12,0.6290690104166666,0.6216227213541666,0.62939453125,-0.0003255208333333333,0.004964192708333333,0.43333333333333335,0.01953125
original,logistic,error_rate,target_a,50,6,12,0.6293538411458334,0.6216227213541666,0.62939453125,-4.0690104166666664e-05,0.0032958984375,0.6333333333333334,0.01953125
original,logistic,error_rate,target_a,100,6,12,0.6279296875,0.6216227213541666,0.62939453125,-0.00146484375,0.001708984375,0.8249999999999998,0.0
original,logistic,error_rate,target_a,227,6,12,0.62939453125,0.6216227213541666,0.62939453125,0.0,0.0,1.0,0.0
original,logistic,nll,domain_moment,10,6,12,3.4346999064337833,3.389995651278193,3.3965429412617625,0.03815696517202135,0.04470425515559092,0.19166666666666665,0.22343977829727324
original,logistic,nll,domain_moment,25,6,12,3.4285185725217904,3.389995651278193,3.3965429412617625,0.03197563126002789,0.03327112043974856,0.375,0.22343977829727324
original,logistic,nll,domain_moment,50,6,12,3.4098591317532114,3.389995651278193,3.3965429412617625,0.013316190491448684,0.01464992621671013,0.5666666666666667,0.10521417037411851
original,logistic,nll,domain_moment,100,6,12,3.401293896850429,3.389995651278193,3.3965429412617625,0.004750955588666228,0.004015482824151095,0.8166666666666668,0.034936751032284
original,logistic,nll,domain_moment,227,6,12,3.3965429412617625,3.389995651278193,3.3965429412617625,0.0,0.0,0.9916666666666667,0.0
original,logistic,nll,exhaustive,455,6,12,3.3965429412617625,3.389995651278193,3.3965429412617625,0.0,0.0,1.0,0.0
